Actual,Predicted,Count,Confusion Pair
W,V,39,W → V
V,U,24,V → U
N,M,22,N → M
V,W,19,V → W
U,V,17,U → V
U,R,15,U → R
Y,X,14,Y → X
X,V,13,X → V
R,S,11,R → S
B,E,11,B → E
S,T,10,S → T
X,Y,10,X → Y
T,S,10,T → S
V,X,10,V → X
A,B,9,A → B
U,W,9,U → W
K,I,9,K → I
E,D,8,E → D
F,A,8,F → A
W,U,8,W → U
U,S,8,U → S
S,Y,7,S → Y
R,K,7,R → K
A,E,7,A → E
K,R,7,K → R
Y,T,7,Y → T
G,H,6,G → H
E,O,6,E → O
M,N,6,M → N
B,U,5,B → U
V,S,5,V → S
V,Y,5,V → Y
D,F,5,D → F
W,X,5,W → X
X,S,5,X → S
E,B,5,E → B
Y,V,5,Y → V
E,I,5,E → I
M,W,5,M → W
R,U,5,R → U
I,E,5,I → E
D,A,5,D → A
X,U,4,X → U
B,D,4,B → D
F,C,4,F → C
space,del,4,space → del
H,G,4,H → G
space,U,4,space → U
E,A,4,E → A
X,N,4,X → N
T,Y,4,T → Y
S,R,4,S → R
P,Q,4,P → Q
U,T,4,U → T
U,O,4,U → O
O,W,3,O → W
B,A,3,B → A
U,Y,3,U → Y
I,K,3,I → K
M,O,3,M → O
X,R,3,X → R
space,Y,3,space → Y
space,V,3,space → V
D,B,3,D → B
X,E,3,X → E
G,J,3,G → J
W,R,3,W → R
W,M,3,W → M
I,R,3,I → R
M,V,3,M → V
T,V,3,T → V
I,X,3,I → X
E,F,3,E → F
T,L,3,T → L
X,W,3,X → W
K,B,3,K → B
O,D,3,O → D
J,R,3,J → R
S,X,3,S → X
O,M,3,O → M
Z,T,3,Z → T
S,U,3,S → U
Q,P,3,Q → P
G,E,3,G → E
Y,Z,2,Y → Z
A,F,2,A → F
Y,O,2,Y → O
J,G,2,J → G
A,O,2,A → O
F,I,2,F → I
Y,U,2,Y → U
Y,space,2,Y → space
O,L,2,O → L
S,N,2,S → N
E,L,2,E → L
X,del,2,X → del
E,nothing,2,E → nothing
space,W,2,space → W
del,space,2,del → space
space,M,2,space → M
N,O,2,N → O
K,W,2,K → W
R,X,2,R → X
A,D,2,A → D
K,U,2,K → U
K,T,2,K → T
N,del,2,N → del
G,R,2,G → R
Z,Y,2,Z → Y
J,H,2,J → H
B,R,2,B → R
I,F,2,I → F
B,V,2,B → V
D,G,2,D → G
S,A,2,S → A
R,I,2,R → I
W,E,2,W → E
A,C,2,A → C
W,B,2,W → B
O,Z,2,O → Z
O,T,2,O → T
O,N,2,O → N
E,T,2,E → T
S,V,2,S → V
E,S,2,E → S
R,T,2,R → T
O,S,2,O → S
D,E,2,D → E
T,O,2,T → O
S,E,2,S → E
U,E,2,U → E
V,T,2,V → T
E,K,2,E → K
T,A,2,T → A
V,E,2,V → E
T,W,2,T → W
D,U,2,D → U
T,Z,2,T → Z
U,X,2,U → X
U,B,2,U → B
N,W,1,N → W
I,Z,1,I → Z
J,X,1,J → X
J,space,1,J → space
K,E,1,K → E
N,R,1,N → R
E,G,1,E → G
U,K,1,U → K
T,M,1,T → M
R,Y,1,R → Y
S,C,1,S → C
S,I,1,S → I
I,M,1,I → M
I,T,1,I → T
K,V,1,K → V
I,L,1,I → L
I,J,1,I → J
I,G,1,I → G
F,O,1,F → O
F,S,1,F → S
G,space,1,G → space
G,X,1,G → X
G,V,1,G → V
F,U,1,F → U
K,L,1,K → L
F,G,1,F → G
K,S,1,K → S
S,space,1,S → space
S,del,1,S → del
R,O,1,R → O
T,D,1,T → D
T,Q,1,T → Q
R,G,1,R → G
R,B,1,R → B
Q,nothing,1,Q → nothing
Q,F,1,Q → F
P,space,1,P → space
P,T,1,P → T
E,U,1,E → U
O,Y,1,O → Y
O,V,1,O → V
O,U,1,O → U
O,R,1,O → R
O,H,1,O → H
O,F,1,O → F
O,A,1,O → A
N,Z,1,N → Z
R,J,1,R → J
N,J,1,N → J
R,V,1,R → V
R,W,1,R → W
U,I,1,U → I
U,H,1,U → H
U,F,1,U → F
U,D,1,U → D
T,del,1,T → del
T,X,1,T → X
T,U,1,T → U
N,Y,1,N → Y
E,W,1,E → W
K,X,1,K → X
M,del,1,M → del
A,Y,1,A → Y
X,Q,1,X → Q
X,A,1,X → A
X,B,1,X → B
X,P,1,X → P
A,Z,1,A → Z
X,M,1,X → M
X,K,1,X → K
C,A,1,C → A
Z,O,1,Z → O
B,W,1,B → W
del,W,1,del → W
space,Z,1,space → Z
D,C,1,D → C
space,X,1,space → X
C,S,1,C → S
space,S,1,space → S
space,P,1,space → P
space,N,1,space → N
U,space,1,U → space
Z,X,1,Z → X
V,B,1,V → B
del,Q,1,del → Q
X,G,1,X → G
V,R,1,V → R
del,O,1,del → O
V,L,1,V → L
V,G,1,V → G
W,space,1,W → space
W,Y,1,W → Y
M,Z,1,M → Z
A,V,1,A → V
M,X,1,M → X
M,K,1,M → K
M,D,1,M → D
N,S,1,N → S
M,A,1,M → A
L,W,1,L → W
L,V,1,L → V
L,T,1,L → T
L,N,1,L → N
L,B,1,L → B
L,A,1,L → A
L,Y,1,L → Y
U,L,1,U → L
F,V,1,F → V
D,I,1,D → I
Z,L,1,Z → L
U,M,1,U → M
Y,del,1,Y → del
B,L,1,B → L
Y,W,1,Y → W
A,L,1,A → L
Y,R,1,Y → R
Y,I,1,Y → I
W,G,1,W → G
A,S,1,A → S
B,K,1,B → K
A,U,1,A → U
P,U,1,P → U
