Sign,Precision,Recall,F1 Score,Support
nothing,99.01,100.0,99.5,300.0
C,97.39,99.33,98.35,300.0
Q,97.68,98.33,98.01,300.0
P,98.32,97.67,97.99,300.0
H,96.73,98.67,97.69,300.0
J,97.98,97.0,97.49,300.0
del,96.09,98.33,97.2,300.0
Z,96.37,97.33,96.85,300.0
L,95.44,97.67,96.54,300.0
G,94.97,94.33,94.65,300.0
space,96.52,92.33,94.38,300.0
F,94.93,93.67,94.3,300.0
D,93.31,93.0,93.16,300.0
I,92.67,92.67,92.67,300.0
K,94.41,90.0,92.15,300.0
N,94.37,89.33,91.78,300.0
O,91.64,91.33,91.49,300.0
M,89.07,92.33,90.67,300.0
B,90.6,90.0,90.3,300.0
A,90.3,90.0,90.15,300.0
T,87.79,88.67,88.23,300.0
Y,86.75,87.33,87.04,300.0
R,85.16,88.0,86.56,300.0
E,86.49,85.33,85.91,300.0
S,84.19,87.0,85.57,300.0
X,84.25,82.0,83.11,300.0
W,81.88,78.33,80.07,300.0
U,77.66,75.33,76.48,300.0
V,70.9,76.33,73.52,300.0
